index,totalseconds,Gender,Age,Edu,Marriage,ASC1,ASC2,ASC3,ASC4,ASC5,T1,OSC1,OSC2,OSC3,OSC4,OSC5,OSC6,RD1,RD2,RD3,RD4,RD5,T2,POS1,POS2,POS3,POS4,POS5,LS1,LS2,LS3,LS4,LS5,DI1,DI2,DI3,T3,DC1,DC2,DC3,UI1,UI2,UI3,UC1,UC2,UC3,SCD,USC,DSC,totalvalue
139,291,1,28,4,2,4,6,4,6,5,7,4,1,7,6,4,2,6,2,1,2,3,1,1,3,2,4,3,3,4,3,4,1,5,6,7,7,3,3,2,4,3,1,4,5,7,4,3,2,165
140,191,2,21,3,1,5,4,6,3,4,7,5,7,5,7,3,5,4,3,2,6,2,1,2,2,2,3,3,5,5,4,5,2,3,1,5,7,5,6,6,4,4,4,6,6,6,5,6,3,189
141,251,2,25,4,2,6,7,6,6,3,7,5,3,4,5,6,5,7,3,4,5,2,1,3,1,3,4,3,5,4,2,1,1,6,4,6,7,6,6,7,7,4,2,3,6,5,6,5,4,196
144,209,2,30,4,1,5,6,7,5,1,7,5,6,5,6,7,2,4,4,2,2,3,1,3,2,4,3,1,4,3,5,4,3,5,6,6,7,3,4,4,5,6,5,3,2,2,6,4,2,180
145,325,2,34,4,2,5,6,5,6,4,7,5,6,2,4,5,6,5,6,4,6,2,1,5,6,4,5,4,6,5,6,5,6,3,5,6,7,4,3,5,6,7,5,6,5,6,6,4,3,218
146,302,2,29,4,2,3,6,3,2,7,7,4,5,6,6,7,5,2,3,1,3,2,1,1,3,3,2,3,6,5,7,6,4,3,3,4,7,1,1,2,6,7,5,3,3,4,7,4,1,174
148,189,2,33,4,2,7,3,5,6,4,7,4,2,3,6,5,4,6,2,3,7,5,1,4,7,5,2,3,7,4,2,4,3,2,4,7,7,5,3,2,4,6,5,3,5,4,5,6,3,192
149,373,1,28,4,2,5,5,6,7,3,7,6,5,5,7,6,4,4,3,1,5,2,1,3,3,5,3,4,5,7,7,4,4,6,6,5,7,7,4,5,7,7,6,4,5,6,7,6,2,217
151,358,2,36,4,2,5,7,6,4,1,7,5,6,4,7,5,6,5,7,3,6,2,1,7,5,7,6,2,5,7,6,4,5,1,3,2,7,3,1,4,6,5,7,5,2,3,6,4,1,201
152,371,2,33,4,2,5,6,7,6,1,7,6,7,7,7,7,2,2,6,1,6,1,1,5,6,7,5,2,7,7,7,6,7,2,1,1,7,2,1,3,7,7,6,4,2,2,7,6,2,204
153,259,1,37,4,2,3,5,3,5,5,7,5,6,6,6,6,3,3,3,3,3,3,1,3,3,2,5,2,3,3,5,2,2,5,5,5,7,3,3,3,5,6,6,3,3,5,3,3,3,174
154,267,1,30,4,2,6,6,7,6,2,7,6,7,6,6,6,4,5,6,3,6,3,1,5,5,6,4,3,6,6,7,6,4,4,4,4,7,6,6,6,6,6,6,4,4,5,6,6,4,229
155,267,2,18,3,1,3,6,6,2,1,7,5,1,6,7,7,1,7,1,2,4,2,1,6,4,6,2,1,1,2,4,2,1,6,7,6,7,2,4,5,3,6,6,7,7,7,6,7,3,187
157,300,1,26,4,2,4,5,5,4,3,7,4,5,5,4,6,2,5,2,3,3,4,1,2,4,3,6,4,4,3,4,3,2,6,5,6,7,5,6,5,5,6,5,3,3,2,6,5,3,185
158,219,2,28,4,2,3,7,6,3,5,7,3,6,7,5,6,3,2,2,1,5,2,1,2,3,2,3,2,5,6,7,4,5,2,3,2,7,5,6,5,7,5,6,2,1,3,5,4,2,178
159,247,1,33,3,2,7,6,3,3,6,7,3,6,5,6,7,6,5,6,4,3,3,1,5,4,5,4,3,5,6,6,6,4,3,3,2,7,3,3,3,5,6,6,6,4,6,3,2,3,200
161,202,2,25,4,1,4,3,5,4,3,7,4,5,3,5,6,4,5,2,4,2,3,1,2,1,3,4,2,4,2,5,7,2,1,3,2,7,4,3,2,4,3,5,3,5,6,4,3,4,161
162,268,2,19,3,1,2,5,6,5,3,7,4,5,6,6,7,5,4,3,6,2,6,1,2,1,2,7,5,2,2,4,3,1,6,4,7,7,7,5,6,3,4,2,6,5,7,3,4,5,193
164,284,1,30,4,2,2,4,5,4,5,7,3,4,4,3,4,5,3,3,2,4,3,1,4,4,4,3,3,3,5,5,6,4,4,3,3,7,5,5,5,3,3,3,5,3,4,4,4,3,171
165,226,1,30,4,2,6,7,6,7,4,7,6,7,6,7,6,5,5,6,4,5,4,1,5,6,7,5,6,5,6,7,6,5,6,7,6,7,5,6,7,5,6,7,6,3,5,6,6,2,247
166,411,2,36,4,2,7,6,7,6,5,7,4,6,5,4,3,2,4,6,1,4,2,1,4,3,3,5,2,4,3,6,7,1,7,6,4,7,5,7,6,5,7,6,4,3,2,6,7,4,204
167,236,2,32,4,2,3,2,1,2,7,7,2,4,3,2,1,3,3,1,2,3,2,1,3,2,3,4,3,4,3,3,2,4,4,5,6,7,4,3,4,5,6,4,5,6,6,4,3,4,156
168,562,2,21,4,1,4,6,7,6,2,7,5,6,7,6,7,2,7,1,2,1,5,1,1,2,3,2,1,2,1,3,1,1,6,6,7,7,2,2,5,6,5,6,5,6,7,6,5,3,183
169,276,1,24,5,2,3,4,6,5,6,7,6,5,5,6,4,4,5,6,3,5,2,1,4,4,3,6,5,4,5,6,3,2,5,6,5,7,5,6,5,7,6,6,4,5,6,7,7,3,215
170,239,2,24,4,2,6,5,6,4,6,7,5,5,4,5,6,5,6,5,6,5,6,1,3,4,5,6,4,6,5,4,2,6,5,5,6,7,5,4,5,7,5,4,5,6,6,6,7,1,222
171,481,1,35,4,2,5,3,4,5,6,7,2,4,6,5,6,3,2,3,1,5,2,1,6,4,5,3,2,5,3,6,2,5,2,3,2,7,6,5,6,5,7,6,2,3,2,6,5,3,181
172,677,1,55,2,2,5,6,6,7,4,7,5,5,7,6,5,6,3,1,3,3,4,1,4,2,4,4,5,2,4,3,5,1,4,4,5,7,5,4,5,5,5,4,5,3,3,3,5,6,191
173,239,2,29,4,2,4,5,5,6,6,7,4,5,5,6,5,6,3,5,3,5,3,1,4,4,5,4,3,6,5,5,5,4,3,3,2,7,5,6,5,5,5,6,3,2,2,6,5,3,197
175,191,2,25,4,2,6,5,7,6,3,7,3,6,5,3,6,7,3,6,4,3,7,1,3,4,6,5,3,6,3,7,5,3,6,4,7,7,3,5,7,3,5,6,3,7,4,4,7,3,214
176,255,2,20,4,1,4,4,5,3,3,7,5,5,5,4,6,3,4,3,4,2,4,1,1,1,2,4,3,4,1,2,2,2,4,4,4,7,4,4,4,3,3,3,4,4,4,6,5,3,160
178,192,2,23,4,1,5,6,7,6,2,7,6,7,5,6,7,5,5,5,3,4,2,1,4,4,4,4,2,5,6,5,5,6,4,4,4,7,3,2,3,6,6,7,3,2,2,6,6,2,201
179,221,2,24,4,1,6,7,6,6,2,7,6,7,5,6,7,4,5,2,6,4,6,1,3,2,4,5,4,5,5,6,3,2,3,2,3,7,5,6,6,4,4,5,6,7,6,5,6,5,212
180,228,2,21,4,1,1,2,4,2,6,7,2,4,4,3,5,2,4,3,2,2,3,1,1,2,4,5,4,4,3,3,3,2,1,1,3,7,5,5,6,5,4,4,6,5,5,5,4,2,156
181,354,2,28,4,2,5,6,5,5,2,7,5,6,5,5,6,4,6,6,5,6,5,1,5,6,5,6,5,5,6,5,6,5,6,5,6,7,5,6,5,6,5,6,5,6,5,6,7,6,236
182,595,2,32,4,2,6,7,7,6,7,7,4,3,6,4,4,5,6,1,7,3,1,1,7,6,7,6,6,7,6,7,6,7,1,1,1,7,7,3,7,7,7,7,7,7,7,1,1,1,222
183,195,1,34,4,2,5,6,6,5,2,7,6,5,6,6,5,2,4,5,3,6,2,1,6,5,5,5,6,6,5,6,6,2,5,5,5,7,5,5,5,6,6,6,6,6,6,5,6,2,220
184,227,2,26,4,2,1,1,1,1,7,7,1,2,2,2,2,7,2,1,1,2,2,1,1,2,2,3,3,6,6,7,7,4,1,1,1,7,1,1,1,5,5,5,2,2,1,6,4,1,128
185,250,1,26,4,2,6,5,7,3,2,7,4,3,6,7,5,1,6,5,4,3,5,1,2,1,3,2,1,1,2,4,2,6,5,6,7,7,5,3,6,3,2,1,4,2,1,6,6,7,175
186,250,1,35,4,2,3,4,5,3,5,7,3,5,4,4,3,4,5,3,4,1,5,1,1,1,2,6,1,6,1,2,1,1,3,3,3,7,2,2,2,4,4,4,4,5,5,7,4,2,152
187,613,1,29,4,1,4,6,6,2,5,7,7,7,3,2,6,4,4,2,1,2,1,1,1,3,4,4,2,3,2,4,5,1,5,5,4,7,4,4,3,6,5,7,2,3,4,6,5,2,171
188,298,2,25,3,2,2,3,4,6,7,7,1,5,6,5,6,7,2,3,1,4,2,1,3,1,4,2,5,6,5,7,6,6,2,1,2,7,4,5,4,4,5,6,2,2,1,6,4,3,175
189,264,2,21,4,1,5,6,7,3,5,7,5,6,7,6,7,3,6,5,2,5,2,1,4,3,5,3,1,3,3,5,3,2,5,5,6,7,6,6,6,5,5,4,6,6,6,6,5,3,207
191,217,2,29,4,2,3,4,3,4,5,7,3,4,4,3,5,5,3,2,1,2,2,1,3,2,4,4,2,5,4,5,3,2,4,5,4,7,4,5,5,6,5,5,4,3,2,5,3,2,164
192,273,1,42,4,2,2,5,3,3,6,7,2,4,6,6,5,5,5,4,3,3,2,1,4,4,5,5,4,5,5,6,6,5,3,3,2,7,3,4,3,5,5,6,5,5,6,6,5,3,192
193,279,1,11,4,2,6,4,5,3,6,7,3,6,6,6,5,2,6,2,4,2,3,1,4,4,4,6,4,3,3,3,1,2,4,4,4,7,3,6,5,3,5,4,5,5,5,2,4,4,181
194,282,1,30,4,2,3,5,5,7,2,7,5,6,6,7,7,4,2,1,3,1,4,1,1,2,1,4,3,1,1,1,1,1,3,3,3,7,3,3,2,2,3,3,4,5,5,7,5,3,153
195,240,2,26,4,2,2,2,2,2,7,7,1,6,6,6,6,6,2,2,2,2,2,1,2,1,5,5,4,7,5,7,6,7,2,2,2,7,2,2,2,6,6,7,2,2,2,6,7,2,172
196,306,2,32,4,2,5,3,5,3,6,7,4,2,3,1,4,3,6,1,6,2,5,1,1,4,1,5,2,2,1,2,1,1,1,3,1,7,5,6,5,3,2,3,5,6,5,2,3,2,146
197,249,2,32,4,2,4,4,5,3,5,7,3,5,5,4,6,4,3,3,1,4,2,1,3,2,4,1,3,5,5,6,5,5,4,4,4,7,5,5,5,6,5,6,3,3,3,5,3,3,179
198,476,2,30,4,2,4,3,4,3,5,7,3,5,5,4,5,4,2,2,1,4,3,1,1,1,4,2,2,4,4,5,5,2,3,3,3,7,4,4,5,5,6,6,4,3,3,5,3,3,162
199,672,2,31,2,2,4,5,6,3,4,7,5,6,4,4,3,3,2,3,3,4,3,1,2,2,3,1,3,2,3,4,4,1,5,5,6,7,4,4,4,5,6,5,4,5,4,4,5,5,173
200,512,2,23,4,1,4,5,5,4,4,7,3,4,5,5,3,2,5,3,2,4,4,1,2,2,4,4,3,3,3,4,3,2,4,4,3,7,3,3,3,5,5,5,4,4,4,5,4,4,167
201,469,2,36,3,2,5,7,6,5,3,7,7,6,5,5,6,2,2,6,3,7,3,1,5,6,7,2,5,6,5,6,6,7,3,2,1,7,6,5,5,7,7,5,2,1,2,3,2,6,205
202,643,2,28,3,2,6,7,6,6,1,7,5,6,4,1,4,5,5,1,1,1,4,1,2,1,1,1,1,2,1,6,5,1,5,6,1,7,4,2,2,6,7,5,1,1,4,6,6,1,156
203,619,2,38,4,2,3,2,4,3,6,7,3,5,3,2,5,6,3,1,3,2,3,1,3,2,3,2,1,5,4,5,6,3,2,1,2,7,3,3,2,5,6,7,3,2,1,6,5,2,153
204,869,2,28,4,2,6,7,6,7,6,7,6,5,6,7,6,7,6,7,6,7,6,1,6,7,6,7,6,6,7,6,7,6,3,4,4,7,2,3,4,6,7,6,7,2,4,6,4,4,246
205,486,2,49,4,2,4,6,4,3,5,7,6,4,5,2,4,3,6,1,2,4,6,1,2,1,3,4,2,2,1,2,2,2,6,5,4,7,5,4,3,4,5,5,2,4,2,4,5,2,161
206,744,2,30,4,2,2,4,5,4,5,7,5,4,3,3,5,4,3,2,1,3,2,1,3,2,3,2,3,6,5,6,6,3,4,3,3,7,3,3,5,6,6,7,2,3,4,6,5,3,172
207,717,1,28,4,2,2,4,4,2,6,7,2,4,4,4,6,3,5,1,1,3,2,1,1,1,2,1,1,3,5,6,3,3,2,1,2,7,6,5,5,5,6,4,5,5,5,6,4,2,157
208,3188,1,25,4,1,5,5,6,5,6,7,5,7,6,3,6,3,6,5,7,3,5,1,4,4,5,7,5,5,6,5,5,6,6,6,5,7,5,6,4,4,4,4,4,4,5,5,5,5,222
209,1108,2,32,4,2,5,5,4,4,3,7,5,5,6,5,6,3,5,4,3,3,4,1,3,3,4,3,4,3,4,4,3,2,6,5,5,7,4,5,4,5,6,5,5,4,5,6,6,1,190
210,673,2,31,4,2,5,6,5,5,2,7,5,6,6,5,6,3,5,4,3,3,4,1,3,3,4,5,4,4,4,3,2,2,5,5,6,7,4,5,5,6,5,5,5,4,5,6,5,1,194
211,205,1,22,3,1,6,6,7,7,1,7,7,7,5,5,7,6,6,4,6,4,6,1,3,3,3,6,4,5,3,4,3,1,6,7,7,7,2,2,4,2,2,2,6,6,6,4,7,4,207
212,215,1,33,4,2,5,6,7,6,5,7,5,7,6,7,5,4,6,2,4,4,3,1,2,1,2,4,4,5,6,5,4,3,7,6,5,7,5,6,7,4,5,6,7,6,7,6,5,1,216
214,270,2,33,4,2,6,7,6,6,7,7,5,6,6,7,5,6,7,3,6,6,3,1,5,6,6,7,5,5,7,6,6,6,4,4,5,7,2,5,5,6,7,6,7,7,6,5,7,3,245
215,272,2,30,4,2,2,5,4,3,3,7,4,6,6,7,4,5,3,5,2,4,2,1,4,1,2,2,4,5,5,7,7,6,4,3,3,7,6,7,7,6,7,7,5,5,5,6,5,1,200
216,278,1,23,4,1,6,5,5,6,2,7,6,7,5,6,6,4,5,3,5,3,5,1,3,2,4,3,6,4,3,4,4,2,5,6,6,7,5,4,5,5,6,6,2,3,3,6,6,3,200
217,217,2,26,4,2,5,4,5,4,3,7,5,4,7,4,4,4,5,4,5,5,4,1,3,4,4,5,4,4,4,3,4,3,5,5,6,7,4,4,5,5,4,4,6,5,4,5,4,4,195
218,249,2,29,4,2,4,7,6,7,2,7,5,3,6,6,5,1,4,2,1,1,3,1,2,3,2,3,4,4,3,3,2,1,3,2,5,7,3,6,5,4,5,4,3,5,3,6,5,2,166
219,235,2,36,3,2,3,4,4,3,6,7,2,5,4,3,5,4,3,2,1,4,1,1,3,2,2,2,1,5,5,6,6,4,3,2,3,7,4,5,5,4,5,5,4,5,5,4,2,2,163
220,209,2,31,4,2,6,7,6,7,2,7,6,6,6,7,6,6,6,6,2,5,3,1,6,6,6,7,6,6,6,6,6,6,6,6,6,7,5,5,6,6,7,6,2,2,2,7,6,2,237
221,228,2,23,4,1,3,4,4,5,3,7,5,5,6,5,6,3,6,3,6,3,6,1,3,2,2,2,3,5,4,5,2,3,5,5,6,7,4,5,5,6,6,5,3,4,5,6,5,4,193
222,221,2,22,3,1,5,6,7,5,4,7,5,4,6,5,4,6,5,7,6,4,5,1,6,5,5,4,7,5,6,4,5,5,6,6,5,7,6,5,4,6,7,6,5,5,6,6,7,1,232
223,237,1,25,4,1,5,6,5,3,4,7,5,6,5,7,5,3,5,3,2,2,4,1,2,2,4,5,3,3,5,5,4,3,5,2,5,7,4,6,5,6,5,6,3,5,5,6,5,3,192
225,303,2,27,4,2,6,5,7,5,6,7,6,5,7,5,5,2,6,4,2,3,4,1,2,4,5,5,2,5,3,5,3,2,6,7,5,7,5,4,6,7,6,7,6,5,7,7,6,2,215
226,320,2,37,4,2,3,2,7,1,3,7,2,7,2,2,4,6,4,1,1,3,1,1,1,1,2,3,1,4,4,5,5,2,1,1,1,7,1,5,2,7,6,6,4,2,6,6,5,2,147
227,206,1,19,4,1,2,6,6,4,4,7,5,3,5,4,5,6,4,3,1,1,2,1,4,3,4,2,2,4,4,5,3,3,5,4,5,7,4,6,6,5,5,6,5,4,4,4,3,3,179
229,216,1,35,4,2,6,7,5,6,3,7,5,7,5,6,6,4,5,4,6,3,7,1,3,2,3,6,5,3,2,4,4,1,6,5,4,7,5,4,5,4,6,5,7,6,5,4,5,3,207
230,221,1,30,4,2,7,6,7,6,7,7,5,6,4,6,5,6,7,5,1,2,5,1,2,3,2,3,1,7,5,6,4,5,5,6,7,7,5,2,5,6,6,7,5,6,7,6,7,2,220
231,229,1,28,4,2,6,7,6,6,6,7,5,6,6,6,7,6,6,5,2,6,2,1,6,6,5,6,5,6,5,7,6,7,1,2,1,7,2,1,2,6,7,6,6,7,6,6,6,2,223
232,298,2,23,4,1,3,5,6,4,4,7,5,6,3,2,5,2,6,1,3,1,5,1,2,2,3,5,4,2,3,4,1,1,3,6,5,7,4,3,5,5,2,2,5,6,7,5,4,3,168
233,298,2,22,4,1,3,6,5,4,2,7,6,5,4,5,6,2,6,2,5,3,6,1,2,2,1,6,5,3,2,3,1,2,6,5,6,7,4,5,3,3,2,2,6,5,6,6,7,3,181
234,264,2,26,4,1,5,6,7,7,2,7,5,4,3,4,6,1,3,1,3,2,3,1,1,2,4,2,3,5,4,4,2,1,3,2,2,7,5,3,6,3,2,3,5,6,3,6,5,2,161
235,222,2,27,4,1,4,5,5,4,3,7,5,3,4,5,5,3,5,3,4,3,4,1,3,3,4,4,4,3,3,3,3,3,5,4,4,7,4,4,5,3,4,4,5,5,5,5,5,3,178
236,207,2,28,4,2,6,5,5,6,2,7,6,5,3,4,5,2,7,3,5,2,4,1,2,1,3,3,2,4,3,3,3,2,5,5,5,7,4,5,5,3,3,4,5,6,6,3,4,2,176
237,228,1,36,4,2,4,6,5,4,4,7,2,5,5,6,5,6,3,4,2,3,4,1,3,2,4,4,4,5,5,6,7,3,5,6,5,7,4,5,6,6,7,5,3,4,5,5,4,4,200
238,486,1,31,4,2,5,6,4,5,1,7,5,6,5,7,6,1,3,5,2,7,2,1,5,7,6,5,4,6,7,7,6,5,3,2,1,7,4,6,7,7,6,7,2,1,2,6,7,2,206
239,243,1,33,4,2,7,6,7,7,1,7,6,6,7,7,7,6,2,6,2,6,2,1,6,6,7,5,6,6,7,7,6,6,6,7,6,7,5,7,6,6,7,7,2,3,3,7,5,2,241
240,245,1,30,4,1,5,6,6,4,5,7,4,3,4,5,3,3,6,3,7,2,5,1,2,4,6,6,2,6,4,5,3,2,6,5,6,7,6,7,7,2,3,4,6,5,6,4,5,4,202
241,314,2,26,4,2,1,2,1,3,6,7,1,5,2,1,4,7,2,3,1,6,2,1,4,4,5,3,7,5,6,6,7,5,2,1,1,7,3,3,2,5,6,6,3,2,1,5,4,1,159
242,206,2,25,4,1,4,5,5,4,4,7,5,3,5,5,4,4,4,3,5,3,4,1,4,4,4,5,4,3,4,3,3,3,5,5,5,7,5,4,4,4,5,4,5,4,4,6,5,4,188
243,338,1,30,4,2,2,7,2,6,2,7,6,4,3,4,6,1,5,4,3,1,2,1,3,1,3,4,1,5,5,2,7,6,2,3,2,7,6,2,1,7,7,6,2,6,7,7,3,1,172
245,469,1,31,4,2,5,5,6,5,3,7,4,3,2,6,6,4,5,2,4,3,6,1,6,4,3,6,4,3,1,2,3,2,5,3,2,7,3,2,5,6,6,5,4,5,4,5,6,2,181
246,316,2,35,4,2,2,3,2,3,6,7,4,2,3,1,3,6,2,3,2,4,4,1,2,3,5,4,3,2,4,5,2,1,3,2,3,7,2,2,1,6,4,5,2,2,1,5,4,2,140
247,395,2,23,4,2,4,6,5,6,2,7,6,6,7,6,6,3,6,6,4,6,2,1,6,6,6,7,6,7,7,6,6,6,2,3,4,7,5,6,6,5,6,6,7,5,6,6,5,2,233
248,233,2,40,3,2,3,4,3,2,6,7,3,2,5,6,3,2,2,1,1,1,1,1,3,2,4,3,5,5,6,7,7,2,3,2,2,7,1,2,4,5,7,7,3,5,4,3,2,1,155
249,237,1,36,4,2,5,5,6,6,5,7,5,6,6,7,5,2,2,5,2,5,2,1,6,5,5,6,7,6,5,5,6,2,5,4,4,7,2,5,6,6,6,7,2,3,3,6,4,3,208
250,324,1,34,4,2,5,2,6,6,2,7,5,6,2,2,6,6,5,4,2,2,2,1,2,2,2,2,2,6,4,6,6,2,2,2,2,7,2,2,6,6,6,6,2,2,4,6,4,2,166
251,266,1,25,5,1,2,7,7,5,1,7,6,2,7,7,6,1,6,1,2,1,2,1,1,1,1,1,1,4,2,5,6,2,6,6,7,7,3,5,4,5,5,3,7,4,6,6,6,3,178
253,297,2,30,4,2,1,2,3,4,5,7,4,3,5,4,4,5,1,2,3,4,3,1,3,3,4,4,4,3,5,6,5,4,4,4,3,7,4,5,6,5,6,5,6,4,4,3,4,5,177
254,313,2,24,4,1,6,5,5,6,2,7,4,3,5,6,6,2,5,3,2,2,4,1,2,1,4,4,3,2,4,4,5,2,6,6,5,7,5,5,6,4,5,4,6,6,7,7,6,3,193
255,300,2,34,4,2,5,6,6,6,1,7,6,6,7,5,6,5,5,6,2,6,2,1,6,5,6,6,5,5,6,6,5,6,5,5,5,7,5,5,5,5,5,5,6,6,5,5,6,2,226
256,538,1,30,4,1,2,1,2,3,7,7,6,2,1,2,4,3,3,1,5,3,6,1,1,1,3,6,4,5,5,4,2,1,6,5,6,7,3,4,2,1,2,3,6,7,7,7,6,2,165
257,899,2,26,4,2,1,1,1,2,7,7,1,2,2,2,3,1,1,1,1,2,1,1,2,2,1,1,1,6,7,7,7,6,1,1,1,7,1,1,1,7,5,6,1,1,1,6,4,1,122
258,701,2,20,2,1,1,2,5,4,5,7,4,2,1,1,5,2,5,2,1,4,3,1,4,1,4,2,4,3,2,5,4,3,6,4,3,7,6,4,5,4,5,3,2,6,5,6,4,1,158
259,1133,1,26,4,2,4,3,6,5,3,7,5,5,4,5,7,4,3,2,2,3,3,1,1,2,5,5,4,5,4,4,5,3,5,5,6,7,4,5,5,3,3,4,6,5,5,5,4,2,184
260,787,2,28,4,1,4,5,3,4,5,7,4,3,4,5,3,4,5,2,3,2,4,1,3,2,3,4,4,2,3,4,3,2,3,4,4,7,3,4,4,3,3,4,4,2,3,4,5,3,158
261,943,1,37,3,2,5,5,6,5,3,7,5,7,5,5,6,3,7,3,4,1,7,1,2,1,3,3,2,2,2,3,4,2,6,5,5,7,5,6,4,5,6,5,5,6,5,5,5,3,192
262,1023,1,58,4,2,2,2,3,3,6,7,3,3,3,4,4,3,4,3,2,4,2,1,2,2,2,2,2,3,3,5,3,3,3,2,3,7,4,3,4,5,5,5,4,3,4,4,4,3,149
263,56394,1,33,4,2,4,6,5,5,3,7,4,4,6,5,6,2,6,2,2,4,2,1,3,3,5,4,2,5,5,6,6,3,5,6,6,7,5,7,7,5,5,6,4,3,3,5,4,3,197
